Subject,Gender,Age,Education,Experience,Location,Total_Area,Labour_Capacity,Farm_Size,Breed_Type,Annual_Production_Capacity,Farm_Type,Confinement_Type,Flock_Management,Bedding_Material ,Cleaning_Frequency,Litter_Storage_Type,Stocking_Density_Summer,Stocking_Density_Winter,Maize,Soybean,Barley,Canola,Epidemic_Prevention_Training,Veterinary_Clinic_Access,Penicillins,Tetracyclins,Aminoglycosides,Macrolides,Quinolones,Sulfonamides_and_Trimethoprim,Polymyxin,Mucolytic_drugs,Dewormers,Antibiotic_Growth_Promoters ,Knowledge_Newcastle_disease,Knowledge_Avian_influenza,Knowledge_Marek_disease,Knowledge_Infectious_bronchitis,Knowledge_Infectious_bursal_disease,Knowledge_Coccidiosis,Knowledge_Colibacillosis,Knowledge_Prolapse,Knowledge_Fowl_Typhoid,Practices_Regular_Vaccination,Practices_Quality_Feed,Practices_Veterinary_Drugs_Use,Practices_Open_Environent,Practices_Productive_Breeds,Practices_Good_Hygeine,Practices_Management,DiseaseOutbreak,Health_Issue_Staff
P1,Male,67,Masters,<5,Haripur,2000,<3,Small (500-1500 Birds),Desi or their crosses,5000-8000,Semi Controlled,Closed house with solid walls,Flock continously topped ,wood shaving,Every 5 days,Open Place,2 to 3,2.5 to 3.5,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
P2,Male,28,Masters,<5,Taxila,5000,3 to 5,Medium (1000-2000 Birds),Desi or their crosses,"10,000-12,000",Semi Controlled,Closed house with solid walls,All in all out farm birds,wood shaving,Every 10 days,Pit,2.5 to 3.5,3.5 to 4,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
P3,Male,36,Bachelors,<5,Islamabad,3000,<3,Small (500-1500 Birds),Desi or their crosses,5000-8000,Open,Open house with mesh,Flock continously topped ,Sand,Every 10 days,Open Place,4 to 5,4 to 5,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No
P4,Male,38,Bachelors,<5,Khanpur,5000,3 to 5,Medium (1000-2000 Birds),Desi or their crosses,">20,000",Semi Controlled,Closed house with solid walls,All in all out farm birds,wood shaving,Every 30 days,Pit,2.5 to 3,3 to 3.5,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
P5,Female,33,Masters,<5,Islamabad,3000,<3,Small (500-1500 Birds),Desi or their crosses,<5000,Semi Controlled,Closed house with solid walls,All in all out farm birds,wood shaving,Every 5 days,Pit,2 to 3,2.5 to 3.5,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No
P6,Male,36,Masters,>10,Islamabad,7500,>5,Large (>3000 birds),Broiler,">20,000",Semi Controlled,Closed house with solid walls,All in all out farm birds,rice husk,Every 30 days,Pit,1 to 1.5,1 to 1.5,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes
P7,Male,36,Masters,<5,Islamabad,4000,<3,Small (500-1500 Birds),Desi or their crosses,<5000,Open,Open house with mesh,All in all out farm birds,rice husk,Every 5 days,Pit,3 to 4,3 to 4,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No
P8,Male,56,Bachelors,5 to 10,Chakri,6000,3 to 5,Medium (1000-2000 Birds),Desi or their crosses,"<10,000",Open,Open house with mesh,Multiple flocks and All in All out for each flock,wood shaving,Every 5 days,Pit,2 to 3,2 to 3,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No
P9,Male,65,PhD,5 to 10,Islamabad,8000,3 to 5,Medium (1000-2000 Birds),Desi or their crosses,"<10,000",Open,Open house with mesh,Flock continously topped ,wood shaving,Every 5 days,Pit,4 to 5,4 to 5,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No
P10,Male,36,Masters,<5,Islamabad,5000,<3,Small (500-1500 Birds),Desi or their crosses,<5000,Open,Open house with mesh,Flock continously topped ,wood shaving,Every 5 days,Pit,2 to 3,2 to 3,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No
P11,Male,25,Bachelors,<5,Islamabad,5000,<3,Small (500-1500 Birds),Desi or their crosses,<5000,Open,Open house with mesh,Flock continously topped ,wood shaving,Every 5 days,Pit,4 to 5,4 to 5,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
P12,Male,40,Middle,5 to 10,Islamabad,8000,3 to 5,Large (>3000 birds),Layer,">10,000",Open,Open house with mesh,Flock continously topped ,rice husk,Every 30 days,Pit,2 to 3,2 to 3,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes
P13,Male,36,Masters,>10,Islamabad,8000,3 to 5,Large (>3000 birds),Layer,">10,000",Semi Controlled,Open house with mesh,Multiple flocks and All in All out for each flock,rice husk,Every 5 days,Pit,2 to 3,2 to 3,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes
P14,Male,40,Middle,5 to 10,Islamabad,8000,3 to 5,Large (>3000 birds),Desi or their crosses,">10,000",Open,Open house with mesh,Multiple flocks and All in All out for each flock,rice husk,Every 10 days,Pit,2 to 3,2 to 3,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes
P15,Male,36,Masters,5 to 10,Islamabad,5000,<3,Small (500-1500 Birds),Desi or their crosses,<5000,Open,Open house with mesh,Multiple flocks and All in All out for each flock,wood shaving,Every 5 days,Pit,2 to 3,2 to 3,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No
P16,Male,60,Masters,5 to 10,Chakri,7500,3 to 5,Medium (1000-2000 Birds),Desi or their crosses,"8000 to 10,000",Open,Open house with mesh,Flock continously topped ,wood shaving,Every 5 days,Pit,3 to 4,3 to 4,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
P17,Male,40,Bachelors,5 to 10,Fateh Jhang,8000,3 to 5,Medium (1000-2000 Birds),Layer,"8000 to 10,000",Open,Open house with mesh,Multiple flocks and All in All out for each flock,wood shaving,Every 10 days,Pit,2 to 3,2 to 3,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No
P18,Male,40,Masters,5 to 10,Islamabad,9000,3 to 5,Large (>3000 birds),Layer,">10,000",Open,Open house with mesh,Multiple flocks and All in All out for each flock,Rise Husk,Every 10 days,Pit,2 to 3,2 to 3,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes
P19,Male,37,Bachelors,5 to 10,Murree,5000,3 to 5,Medium (1000-2000 Birds),Broiler,"8000 to 10,000",Open,Open house with mesh,All in all out farm birds,wood shaving,Every 30 days,Pit,1 to 1.5,1 to 1.5,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No
P20,Male,38,Masters,5 to 10,Islamabad,6000,<3,Medium (1000-2000 Birds),Broiler,"8000 to 10,000",Open,Open house with mesh,All in all out farm birds,wood shaving,Every 30 days,Pit,1 to 1.5,1 to 1.5,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No
P21,Male,40,Masters,5 to 10,Islamabad,7000,<3,Medium (1000-2000 Birds),Broiler,"8000 to 10,000",Open,Open house with mesh,All in all out farm birds,Rise Husk,Every 30 days,Pit,1 to 1.5,1 to 1.5,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes
P22,Male,40,Bachelors,<3,Islamabad,7000,<3,Medium (1000-2000 Birds),Desi or their crosses,"8000 to 10,000",Open,Open house with mesh,Multiple flocks and All in All out for each flock,Rise Husk,Every 10 days,Pit,2 to 3,2 to 3,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No
P23,Male,45,Masters,5 to 10,Islamabad,3000,<3,Small (500-1500 Birds),Desi or their crosses,<5000,Open,Open house with mesh,Multiple flocks and All in All out for each flock,Sand and wood shaving,Every 10 days,Pit,2 to 3,2 to 3,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
P24,Male,39,Intermediate,5 to 10,Islamabad,2000,<3,Small (500-1500 Birds),Desi or their crosses,<5000,Open,Open house with mesh,Multiple flocks and All in All out for each flock,Sand and wood shaving,Every 10 days,Pit,2 to 3,2 to 3,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No
P25,Male,45,Masters,5 to 10,Murree,5000,<3,Medium (1000-2000 Birds),Layer,"8000 to 10,000",Open,Open house with mesh,Multiple flocks and All in All out for each flock,Rise Husk,Every 10 days,Pit,2 to 3,2 to 3,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No
P26,Male,38,Bachelors,5 to 10,Murree,6000,<3,Medium (1000-2000 Birds),Broiler,"8000 to 10,000",Open,Open house with mesh,All in all out farm birds,wood shaving,Every 30 days,Pit,1 to 1.5,1 to 1.5,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No
P27,Male,40,Bachelors,5 to 10,Islamabad,8000,3 to 5,Large (>3000 birds),Layer,"10,000-12,000",Open,Open house with mesh,Multiple flocks and All in All out for each flock,wood shaving,Every 30 days,Pit,1.5 to 2,1.5 to 2,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No
P28,Male,42,Bachelors,<3,Islamabad,7000,<3,Large (>3000 birds),Broiler,"10,000-12,000",Open,Open house with mesh,All in all out farm birds,wood shaving,Every 30 days,Pit,1 to 1.5,1 to 1.5,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
P29,Male,40,Masters,<3,Islamabad,5000,<3,Medium (1000-2000 Birds),Broiler,"8000 to 10,000",Open,Open house with mesh,All in all out farm birds,wood shaving,Every 30 days,Pit,1 to 1.5,1 to 1.5,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No
P30,Male,35,Masters,<3,Islamabad,6000,<3,Medium (1000-2000 Birds),Broiler,"8000 to 10,000",Open,Open house with mesh,All in all out farm birds,wood shaving,Every 30 days,Pit,1 to 1.5,1 to 1.5,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No
P31,Male,42,Bachelors,5 to 10,Islamabad,7000,<3,Medium (1000-2000 Birds),Broiler,"8000 to 10,000",Open,Open house with mesh,All in all out farm birds,wood shaving,Every 30 days,Pit,1 to 1.5,1 to 1.5,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes
P32,Male,43,Masters,5 to 10,Rawalpindi,10000,3 to 5,Large (>3000 birds),Layer,"10,000-12,000",Open,Open house with mesh,Multiple flocks and All in All out for each flock,rice husk,Every 10 days,Pit,2,2,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No
P33,Male,39,Bachelors,5 to 10,Islamabad,9000,3 to 5,Large (>3000 birds),Layer,"10,000-12,000",Open,Open house with mesh,Multiple flocks and All in All out for each flock,wood shaving,Every 10 days,Pit,2,2,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No
P34,Male,41,Masters,5 to 10,Shakkar,8000,3 to 5,Large (>3000 birds),Layer,"10,000-12,000",Open,Open house with mesh,Multiple flocks and All in All out for each flock,rice husk,Every 10 days,Pit,2 to 2.5,2 to 2.5,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No
P35,Male,38,Bachelors,5 to 10,Chakri,10000,3 to 5,Large (>3000 birds),Layer,"10,000-12,000",Open,Open house with mesh,Multiple flocks and All in All out for each flock,wood shaving,Every 10 days,Pit,2 to 2.5,2 to 2.5,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
P36,Male,50,Bachelors,5 to 10,Pind Bagwal,10000,3 to 5,Large (>3000 birds),Layer,">20,000",Open,Open house with mesh,Multiple flocks and All in All out for each flock,wood shaving,Every 10 days,Pit,2 to 2.5,2 to 2.5,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
P37,Male,47,Bachelors,5 to 10,Islamabad,25000,3 to 5,Large (>3000 birds),Misri / Golden,">20,000",Open,Open house with mesh,Multiple flocks and All in All out for each flock,wood shaving,Every 10 days,Pit,2 to 2.5,2 to 2.5,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
P38,Male,46,Bachelors,5 to 10,Islamabad,15000,3 to 5,Large (>3000 birds),Golden Misri,">10,000",Open,Open house with mesh,Multiple flocks and All in All out for each flock,wood shaving,Every 10 days,Pit,2 to 2.5,2 to 2.5,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No
P39,Male,44,Masters,5 to 10,Mir Pur Aazad Kashmir,22000,3 to 5,Large (>3000 birds),Golden Misri,">20,000",Open,Open house with mesh,Multiple flocks and All in All out for each flock,wood shaving,Every 10 days,Pit,2 to 2.5,2 to 2.5,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No
P40,Male,47,Bachelors,5 to 10,Taxila,12000,3 to 5,Large (>3000 birds),Layer,">10,000",Open,Open house with mesh,Multiple flocks and All in All out for each flock,wood shaving,Every 10 days,Pit,2 to 2.5,2 to 2.5,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No
P41,Male,49,Masters,5 to 10,Islamabad,14000,3 to 5,Large (>3000 birds),Layer,">20,000",Open,Open house with mesh,Multiple flocks and All in All out for each flock,rice husk,Every 10 days,Pit,2 to 2.5,2 to 2.5,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No
P42,Male,52,Masters,5 to 10,Islamabad,40000,3 to 5,Large (>3000 birds),Layer,">20,000",Open,Open house with mesh,Multiple flocks and All in All out for each flock,rice husk,Every 10 days,Pit,2 to 2.5,2 to 2.5,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No
P43,Male,58,Bachelors,5 to 10,Mandra,18000,3 to 5,Large (>3000 birds),Broiler,">20,000",Open,Open house with mesh,All in all out farm birds,rice husk,Every 30 days,Pit,2 to 2.5,2 to 2.5,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No
P44,Male,46,Bachelors,5 to 10,Rawalpindi,45000,3 to 5,Large (>3000 birds),Broiler,">20,000",Semi Controlled,Closed house with solid walls,All in all out farm birds,rice husk,Every 30 days,Pit,1 to 1.5,1 to 1.5,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No
P45,Male,49,Bachelors,5 to 10,Islamabad,16000,3 to 5,Large (>3000 birds),Broiler,">20,000",Semi Controlled,Closed house with solid walls,All in all out farm birds,rice husk,Every 30 days,Pit,1 to 1.5,1 to 1.5,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No
P46,Male,51,Bachelors,5 to 10,Islamabad,30000,3 to 5,Large (>3000 birds),Broiler,">20,000",Semi Controlled,Open house with mesh,All in all out farm birds,rice husk,Every 30 days,Pit,1 to 1.5,1 to 1.5,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No
P47,Male,50,Bachelors,5 to 10,Mandra,50000,3 to 5,Large (>3000 birds),Broiler,">20,000",Semi Controlled,Closed house with solid walls,All in all out farm birds,rice husk,Every 30 days,Pit,1 to 1.5,1 to 1.5,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
P48,Male,59,Masters,5 to 10,Kahuta,60000,3 to 5,Large (>3000 birds),Broiler,">20,000",Semi Controlled,Open house with mesh,All in all out farm birds,rice husk,Every 30 days,Pit,1 to 1.5,1 to 1.5,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
P49,Male,50,Masters,5 to 10,Attock,60000,3 to 5,Large (>3000 birds),Broiler,">20,000",Semi Controlled,Closed house with solid walls,All in all out farm birds,rice husk,Every 30 days,Pit,1 to 1.5,1 to 1.5,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No
P50,Female,55,Masters,5 to 10,Islamabad,50000,3 to 5,Large (>3000 birds),Broiler,">20,000",Semi Controlled,Open house with mesh,All in all out farm birds,rice husk,Every 30 days,Pit,1 to 1.5,1 to 1.5,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No
P51,Male,58,Intermediate,>10,Faisalabad,22500,>5,Large (>3000 birds),Broiler,">20,000",Controlled Shed,Closed house with solid walls,All in all out farm birds,rice husk,Every 30 days,Pit,1 to 1.5,1 to 1.5,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes
P52,Male,65,Bachelors,>10,Faisalabad,52450,>5,Large (>3000 birds),Broiler,">20,000",Controlled Shed,Closed house with solid walls,All in all out farm birds,rice husk,Every 30 days,Pit,1 to 1.5,1 to 1.5,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes
P53,Male,45,Bachelors,5 to 10,Faisalabad,54500,3 to 5,Large (>3000 birds),Broiler,">20,000",Controlled Shed,Closed house with solid walls,All in all out farm birds,rice husk,Every 30 days,Pit,1 to 1.5,1 to 1.5,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No
P54,Male,35,Matric,>10,Faisalabad,88450,>5,Large (>3000 birds),Layer,">20,000",Semi Controlled,Closed house with solid walls,Multiple flocks and All in All out for each flock,rice husk,Every 30 days,Open Place,2 to 2.5,1 to 1.5,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No
P55,Male,37,Bachelors,>10,Faisalabad,62300,>5,Large (>3000 birds),Broiler,">20,000",Controlled Shed,Closed house with solid walls,All in all out farm birds,rice husk,Every 30 days,Open Place,2 to 2.5,1 to 1.5,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
P56,Male,38,Intermediate,>10,Faisalabad,54450,>5,Large (>3000 birds),Layer,">20,000",Semi Controlled,Closed house with solid walls,Multiple flocks and All in All out for each flock,wood shaving,Every 30 days,Drain,2 to 3,1 to 2,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No
P57,Male,37,Matric,>10,Faisalabad,27225,3 to 5,Medium (1000-2000 Birds),Layer,"10,000 to 15,000",Semi Controlled,Open house with mesh,Multiple flocks and All in All out for each flock,wood shaving,Every 10 days,Drain,2 to 3,1 to 2,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No
P58,Male,32,Matric,>10,Faisalabad,85225,>5,Large (>3000 birds),Broiler,">20,000",Controlled Shed,Closed house with solid walls,Multiple flocks and All in All out for each flock,wood shaving,Every 30 days,Drain,2 to 3,1 to 2,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No